,Tank,Line,Product,Time,Volume
0,310,01,A,20,25.200000000031693
1,310,01,A,21,28.0
2,310,01,A,22,28.0
3,310,01,A,23,28.0
4,310,01,A,24,28.0
5,310,01,A,25,28.0
6,310,01,A,26,28.0
7,310,01,A,27,28.0
8,310,01,A,28,28.0
9,310,01,A,29,25.0
10,310,01,A,32,25.0
11,311,01,A,8,28.0
12,311,01,A,9,28.0
13,311,01,A,10,28.0
14,311,01,A,14,25.0
15,311,01,A,15,25.0
16,311,01,A,16,28.0
17,312,01,D,125,28.0
18,312,01,D,126,28.0
19,312,01,D,127,28.0
20,312,01,D,128,28.0
21,312,01,D,129,28.0
22,312,01,D,130,28.0
23,312,01,D,131,25.0
24,313,01,A,0,28.0
25,313,01,A,2,28.0
26,313,01,A,3,28.0
27,313,01,A,4,28.0
28,317,01,A,11,25.0
29,317,01,A,12,28.0
30,317,01,A,13,28.0
31,317,01,A,17,28.0
32,317,01,A,18,28.0
33,332,01,A,5,25.0
34,332,01,A,6,25.0
35,332,01,A,7,25.0
36,332,01,A,30,26.0
37,332,01,A,31,25.0
38,333,01,A,1,28.0
39,333,01,A,33,28.0
40,333,01,A,34,28.0
41,333,01,A,35,25.0
42,333,01,A,36,25.0
43,333,01,A,37,25.0
44,333,01,A,38,25.0
45,333,01,A,39,25.0
46,333,01,A,40,25.0
47,333,01,A,41,26.799999999999983
48,333,01,A,42,28.0
49,333,01,A,43,28.0
50,339,01,A,19,28.0
51,339,01,A,44,28.0
52,339,01,A,45,28.0
53,339,01,A,46,28.0
54,339,01,A,47,28.0
55,352,02,54,18,6.0
56,352,02,54,19,6.0
57,352,02,54,20,6.0
58,352,02,54,21,6.0
59,352,02,54,22,6.0
60,352,02,54,23,6.0
61,352,02,54,24,6.0
62,352,02,54,25,6.0
63,352,02,54,26,6.0
64,352,02,54,27,6.0
65,352,02,54,28,6.0
66,352,02,54,29,6.0
67,352,02,54,30,6.0
68,352,02,54,31,6.0
69,352,02,54,32,6.0
70,352,02,54,33,6.0
71,352,02,54,34,6.0
72,352,02,54,35,6.0
73,352,02,54,36,8.550000000000018
74,352,02,54,46,6.0
75,352,02,54,47,6.0
76,352,02,54,48,6.0
77,352,02,54,49,6.0
78,352,02,54,50,6.0
79,352,02,54,51,6.0
80,352,02,54,52,6.0
81,352,02,54,53,6.0
82,352,02,54,54,6.0
83,352,02,54,55,6.0
84,352,02,54,56,6.0
85,352,02,54,57,6.0
86,352,02,54,58,6.0
87,352,02,54,59,6.0
88,352,02,54,60,6.0
89,352,02,54,61,6.0
90,352,02,54,62,6.0
91,352,02,54,63,6.0
92,352,02,54,64,6.0
93,352,02,54,65,6.0
94,352,02,54,66,6.0
95,352,02,54,67,6.0
96,352,02,54,68,6.0
97,352,02,54,69,6.0
98,353,02,54,37,6.0
99,353,02,54,38,6.0
100,353,02,54,39,10.0
101,353,02,54,40,10.0
102,353,02,54,41,6.0
103,353,02,54,42,10.0
104,353,02,54,43,6.0
105,353,02,54,44,6.450000000002966
106,353,02,54,45,6.0
107,361,02,62,93,10.0
108,361,02,62,94,10.0
109,361,02,62,95,10.0
110,361,02,62,96,10.0
111,361,02,62,97,10.0
112,361,02,62,98,10.0
113,361,02,62,99,10.0
114,361,02,62,113,10.0
115,361,02,62,114,10.0
116,361,02,62,115,10.0
117,361,02,62,116,10.0
118,361,02,62,117,10.0
119,371,02,62,73,10.0
120,371,02,62,74,10.0
121,371,02,62,75,10.0
