,Tank,Line,Product,Time,Volume
0,316,01,D,125,25.000000000006153
1,316,01,D,126,25.0
2,316,01,D,127,28.0
3,316,01,D,128,28.0
4,316,01,D,129,28.0
5,316,01,D,130,28.0
6,316,01,D,131,28.0
7,338,01,A,3,25.0
8,338,01,A,4,25.0
9,338,01,A,5,25.0
10,338,01,A,6,25.0
11,338,01,A,7,25.0
12,338,01,A,8,25.0
13,338,01,A,9,25.0
14,338,01,A,10,25.0
15,338,01,A,11,25.0
16,338,01,A,12,25.0
17,338,01,A,13,25.0
18,338,01,A,14,25.0
19,338,01,A,15,25.0
20,338,01,A,16,25.0
21,338,01,A,17,25.0
22,338,01,A,18,25.0
23,338,01,A,19,25.0
24,338,01,A,20,25.0
25,338,01,A,21,25.0
26,338,01,A,22,25.0
27,338,01,A,23,25.0
28,338,01,A,24,25.0
29,338,01,A,25,25.0
30,338,01,A,26,25.0
31,338,01,A,27,25.0
32,338,01,A,28,25.0
33,338,01,A,29,25.0
34,338,01,A,30,25.0
35,338,01,A,31,25.0
36,338,01,A,32,25.0
37,338,01,A,33,25.0
38,338,01,A,34,25.0
39,338,01,A,35,25.0
40,338,01,A,36,25.0
41,338,01,A,37,25.0
42,338,01,A,38,25.0
43,338,01,A,39,25.0
44,338,01,A,40,25.0
45,338,01,A,41,25.0
46,338,01,A,42,25.0
47,338,01,A,43,25.0
48,338,01,A,44,25.0
49,338,01,A,45,25.0
50,338,01,A,46,25.0
51,338,01,A,47,25.0
52,338,01,A,48,25.0
53,338,01,A,49,25.0
54,338,01,A,50,25.0
55,338,01,A,51,25.0
56,338,01,A,52,25.0
57,338,01,A,53,25.0
58,338,01,A,54,25.0
59,351,02,54,49,6.0
60,351,02,54,50,6.0
61,351,02,54,51,6.0
62,351,02,54,52,6.0
63,351,02,54,53,6.0
64,351,02,54,54,6.0
65,351,02,54,55,6.0
66,352,02,54,11,6.0
67,352,02,54,12,6.0
68,352,02,54,13,6.0
69,352,02,54,14,6.0
70,352,02,54,15,6.0
71,352,02,54,16,6.0
72,352,02,54,17,6.0
73,352,02,54,18,6.0
74,352,02,54,19,6.0
75,352,02,54,20,6.0
76,352,02,54,21,6.0
77,352,02,54,22,6.0
78,352,02,54,23,6.0
79,352,02,54,24,6.0
80,352,02,54,25,6.0
81,352,02,54,26,6.0
82,352,02,54,27,6.0
83,352,02,54,28,6.0
84,352,02,54,29,6.0
85,352,02,54,30,6.0
86,352,02,54,31,6.0
87,352,02,54,32,6.0
88,352,02,54,33,6.0
89,352,02,54,34,6.0
90,352,02,54,35,6.0
91,352,02,54,36,6.0
92,352,02,54,37,6.0
93,352,02,54,38,6.0
94,352,02,54,39,6.0
95,352,02,54,40,6.0
96,352,02,54,41,6.0
97,352,02,54,42,6.0
98,352,02,54,43,6.0
99,352,02,54,44,6.0
100,352,02,54,45,6.0
101,352,02,54,46,6.0
102,352,02,54,47,6.0
103,352,02,54,48,6.0
104,352,02,54,56,6.0
105,352,02,54,57,6.0
106,352,02,54,58,6.0
107,352,02,54,59,6.0
108,352,02,54,60,6.0
109,352,02,54,61,6.0
110,352,02,54,62,7.400000000000176
111,352,02,54,63,6.0
112,352,02,54,64,5.999999999999915
113,374,02,62,76,10.0
114,374,02,62,77,10.0
115,374,02,62,78,10.0
116,374,02,62,79,10.0
117,374,02,62,80,10.0
118,374,02,62,81,10.0
119,374,02,62,82,10.0
120,374,02,62,83,6.0
121,374,02,62,84,10.0
122,374,02,62,85,10.0
123,374,02,62,86,10.0
124,374,02,62,87,10.0
125,374,02,62,88,10.0
126,374,02,62,89,10.0
127,374,02,62,90,10.0
128,374,02,62,91,10.0
129,374,02,62,92,10.0
130,374,02,62,93,10.0
131,374,02,62,94,10.0
132,374,02,62,95,10.0
133,374,02,62,96,10.0
134,374,02,62,97,10.0
135,374,02,62,98,6.0
136,374,02,62,99,10.0
137,374,02,62,100,10.0
138,374,02,62,101,10.0
139,374,02,62,102,10.0
140,374,02,62,103,10.0
141,374,02,62,104,10.0
142,374,02,62,105,10.0
143,374,02,62,106,10.0
144,374,02,62,107,10.0
145,374,02,62,108,10.0
146,374,02,62,109,10.0
147,374,02,62,110,10.0
148,374,02,62,111,10.0
149,374,02,62,112,10.0
150,374,02,62,113,10.0
151,374,02,62,114,10.0
152,374,02,62,115,10.0
153,374,02,62,116,10.0
154,374,02,62,117,10.0
155,374,02,62,118,10.0
156,374,02,62,119,10.0
157,374,02,62,120,10.0
158,374,02,62,121,10.0
159,374,02,62,122,10.0
160,374,02,62,123,10.0
161,374,02,62,124,10.0
162,374,02,62,125,10.0
163,374,02,62,126,10.0
164,374,02,62,127,10.0
165,374,02,62,128,10.0
166,374,02,62,129,10.0
167,374,02,62,130,10.0
168,374,02,62,131,10.0
